service,endpoint,method,status,category,severity,query,path_params,headers,request_body,response_snippet,error,elapsed_ms,ts
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '8'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10851a890>,"{""message"":""NotFound""}",,229.05800000000002,1777606466.680948
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'h%5C'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x1072521d0>,"{""message"":""NotFound""}",,259.256,1777606467.203648
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%B3'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10849a690>,"{""message"":""NotFound""}",,234.779,1777606467.705838
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'U%24g%F1%B9%9D%9D%C2%8B%F1%A1%9F%AE%C3%94HH%C2%9Ar%F1%B0%9C%B9V%C2%A9g%C3%85%0A'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108677dd0>,"{""message"":""NotFound""}",,225.722,1777606468.202179
gateway,/api/v1/coinbase/products/{product_id},GET,200.0,ok,info,{},{'product_id': '%03'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108327290>,"[{""id"":""MXC-USD"",""base_currency"":""MXC"",""quote_currency"":""USD"",""quote_increment"":""0.00001"",""base_increment"":""0.1"",""display_name"":""MXC-USD"",""min_market_funds"":""1"",""margin_enabled"":false,""post_only"":false,""limit_only"":false,""cancel_only"":false,""status"":""delisted"",""status_message"":"""",""trading_disabled"":true,""fx_stablecoin"":false,""max_slippage_percentage"":""0.03000000"",""auction_mode"":false,""high_bid_lim",,279.89399999999995,1777606468.756526
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'k%F1%93%B7%9C%F2%A2%95%93%C2%AE%F1%81%BE%A9D%C2%8BC%1C%F2%94%9F%B2%C2%89%C3%B7%C3%B6%C2%A8%C2%A2%29%F2%90%83%B3%C2%AE%C2%8BR%C3%B6_'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c81f550>,"{""message"":""NotFound""}",,404.78700000000003,1777606469.43009
gateway,/api/v1/coinbase/products/{product_id},GET,400.0,unexpected,medium,{},{'product_id': '%F3%9D%87%A0%C3%89%C2%AE%C3%86%25%C2%A8'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9b1a50>,"<html>
<head><title>400 Bad Request</title></head>
<body>
<center><h1>400 Bad Request</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
","

1. Undocumented HTTP status code

    Received: 400
    Documented: 200, 404, 502

[400] Bad Request:

    `<html>
    <head><title>400 Bad Request</title></head>
    <body>
    <center><h1>400 Bad Request</h1></center>
    <hr><center>cloudflare</center>
    </body>
    </html>`

Reproduce with: 

    curl -X GET -H 'X-API-Key: [Filtered]' -H 'User-Agent: graylayer-fuzz/1.0 (COM S 4170 project)' -H 'Accept: application/json' https://gateway.graylayer.tech/api/v1/coinbase/products/%F3%9D%87%A0%C3%89%C2%AE%C3%86%25%C2%A8
",217.98899999999998,1777606469.987697
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F2%9D%A6%96%EB%A2%B7%5C'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9c87d0>,"{""message"":""NotFound""}",,598.54,1777606470.846195
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%85%C3%990'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9c8b90>,"{""message"":""NotFound""}",,400.714,1777606471.516099
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F2%9C%AD%95%C3%AC%C2%84%C2%B0%C3%82j%C3%9AX%C2%AF3'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9dcf10>,"{""message"":""NotFound""}",,323.90799999999996,1777606472.108778
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F2%87%A1%84'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9c84d0>,"{""message"":""NotFound""}",,302.082,1777606472.679586
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%A4%18%1Cb%29P%F2%8D%8C%82%3C%C2%84n%C2%91zRRF%12%C2%B2Z%C3%91%F2%9F%B0%AFI%C2%A8%17%F2%A7%8A%AEO%F2%87%94%9C'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9ea490>,"{""message"":""NotFound""}",,384.898,1777606473.333604
gateway,/api/v1/coinbase/products/{product_id},GET,200.0,ok,info,{},{'product_id': '%23%C3%80%04R%C2%A5L%C3%92%C3%8B%C2%B2'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9f0090>,"[{""id"":""TOSHI-USD"",""base_currency"":""TOSHI"",""quote_currency"":""USD"",""quote_increment"":""0.0000001"",""base_increment"":""1"",""display_name"":""TOSHI/USD"",""min_market_funds"":""1"",""margin_enabled"":false,""post_only"":false,""limit_only"":false,""cancel_only"":false,""status"":""online"",""status_message"":"""",""trading_disabled"":false,""fx_stablecoin"":false,""max_slippage_percentage"":""0.03000000"",""auction_mode"":false,""high_bi",,402.575,1777606474.009262
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'a'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9f5fd0>,"{""message"":""NotFound""}",,240.308,1777606474.521225
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%9C%22'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9f6650>,"{""message"":""NotFound""}",,734.41,1777606475.522659
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'price'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c81eb10>,"{""message"":""NotFound""}",,240.613,1777606476.0295238
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%29%28U%C3%AB%F4%85%B5%AC%C3%B6%C2%B9-8%1C%C2%A2'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9f7950>,"{""message"":""NotFound""}",,341.50399999999996,1777606476.637286
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%3B'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9deb90>,"{""message"":""NotFound""}",,257.66499999999996,1777606477.1635141
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'banana'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9dda10>,"{""message"":""NotFound""}",,681.759,1777606478.116825
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'banana'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x1086acc50>,"{""message"":""NotFound""}",,341.311,1777606478.7252831
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F2%A3%84%AF'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb15510>,"{""message"":""NotFound""}",,277.87,1777606479.270714
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%8D%2C%C2%81%F2%8C%9E%96Feg%C3%9A'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9d5c50>,"{""message"":""NotFound""}",,866.3100000000001,1777606480.4034839
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F3%80%A5%BD%C2%8D'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9fa7d0>,"{""message"":""NotFound""}",,235.881,1777606480.908044
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F3%92%9A%9C%C2%A5%C2%81%E8%87%BF%C3%A8'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cba4790>,"{""message"":""NotFound""}",,332.94,1777606481.50676
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'P%C3%99%C3%89%1B'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108337150>,"{""message"":""NotFound""}",,305.03999999999996,1777606482.0760791
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%01%EC%A7%B7%F0%B6%8A%BE'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9d7450>,"{""message"":""NotFound""}",,574.121,1777606482.917094
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'y'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x1083d2610>,"{""message"":""NotFound""}",,260.392,1777606483.445197
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'btcusd'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9b1810>,"{""message"":""NotFound""}",,330.664,1777606484.042973
gateway,/api/v1/coinbase/products/{product_id},GET,400.0,unexpected,medium,{},{'product_id': '%25%F3%B7%BE%B0'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb1f4d0>,"<html>
<head><title>400 Bad Request</title></head>
<body>
<center><h1>400 Bad Request</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
","

1. Undocumented HTTP status code

    Received: 400
    Documented: 200, 404, 502

[400] Bad Request:

    `<html>
    <head><title>400 Bad Request</title></head>
    <body>
    <center><h1>400 Bad Request</h1></center>
    <hr><center>cloudflare</center>
    </body>
    </html>`

Reproduce with: 

    curl -X GET -H 'X-API-Key: [Filtered]' -H 'User-Agent: graylayer-fuzz/1.0 (COM S 4170 project)' -H 'Accept: application/json' https://gateway.graylayer.tech/api/v1/coinbase/products/%25%F3%B7%BE%B0
",195.633,1777606484.5021682
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%A6%F3%93%B2%9F%21%F3%98%8F%99%C2%8Fh%1C%1B%C2%8F%C2%AB6%C2%B6'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb28c50>,"{""message"":""NotFound""}",,471.526,1777606485.235003
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F3%9B%93%9A%C3%BF%C3%8E%C2%A3%C2%A3y'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb07b10>,"{""message"":""NotFound""}",,247.73000000000002,1777606485.751005
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%03m'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9d4e90>,"{""message"":""NotFound""}",,338.002,1777606486.354131
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%82'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108519710>,"{""message"":""NotFound""}",,243.113,1777606486.871186
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'Scunthorpe'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9a0b10>,"{""message"":""NotFound""}",,239.127,1777606487.421393
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%825'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cbb03d0>,"{""message"":""NotFound""}",,241.049,1777606487.926507
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F0%9B%88%B3%C2%91i%F2%8F%84%97'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cba6a50>,"{""message"":""NotFound""}",,305.329,1777606488.498431
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '7b%C2%BB%C2%90%05%C3%83'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9fbb50>,"{""message"":""NotFound""}",,237.713,1777606489.007437
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%90l%C2%86%C2%9D%0D%C3%A6%1A'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb04390>,"{""message"":""NotFound""}",,286.205,1777606489.559532
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%A1%C3%BE%3D'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cba5fd0>,"{""message"":""NotFound""}",,219.512,1777606490.0434492
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F3%B3%BE%94'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb9cb10>,"{""message"":""NotFound""}",,252.02,1777606490.563443
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%8F%27%C3%92'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb1d390>,"{""message"":""NotFound""}",,249.515,1777606491.082397
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%16%07G%F3%B8%95%B3o%F2%89%9C%B5%F3%B6%B6%A6'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108411a50>,"{""message"":""NotFound""}",,239.627,1777606491.592135
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F1%BB%A7%9D%C3%81y%C2%AE%C3%BD%F4%8D%AD%B7%C2%AE%C3%AE%16%F3%9D%98%94%F3%86%98%AD%C3%98%F1%85%BA%87'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb1c050>,"{""message"":""NotFound""}",,268.689,1777606492.1273038
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '5%02%15%C3%9C%C3%A6%C3%9B%C3%85%C2%80%C2%A4%C2%B2%18%06'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cba71d0>,"{""message"":""NotFound""}",,310.21500000000003,1777606492.703873
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'Q%C3%B22'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108410b90>,"{""message"":""NotFound""}",,238.758,1777606493.2121248
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%8B%F1%A8%85%94%F1%AB%BC%B5%F1%A3%84%A3'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9e8590>,"{""message"":""NotFound""}",,250.70199999999997,1777606493.7304928
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '6'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb060d0>,"{""message"":""NotFound""}",,244.775,1777606494.244444
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C2%88%C2%94k%C3%AA%C3%9FK%C2%A9%C3%A4%F3%83%B7%B1%60z'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10c9f2a50>,"{""message"":""NotFound""}",,689.984,1777606495.199129
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F0%BA%BA%B5%C3%AE'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cba86d0>,"{""message"":""NotFound""}",,251.76,1777606495.719713
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '9p%C2%AE%F4%8A%A0%B30%C3%B2'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cba7050>,"{""message"":""NotFound""}",,243.846,1777606496.230798
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%80%C2%A8%19'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb9db10>,"{""message"":""NotFound""}",,251.29800000000003,1777606496.745224
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%06%28%3BO%3C%26V%C3%A1k%2A%C3%9Fc'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10832cad0>,"{""message"":""NotFound""}",,257.50600000000003,1777606497.2720482
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%AB%F4%8E%A4%B7'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb06c10>,"{""message"":""NotFound""}",,241.22199999999998,1777606497.7806451
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F0%A8%AF%A9%F0%A4%98%9E%C3%89'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cbaaf50>,"{""message"":""NotFound""}",,244.06900000000002,1777606498.2946482
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%C3%86Y%C2%B8'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10cb1df90>,"{""message"":""NotFound""}",,243.30599999999998,1777606498.806025
